#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1110,J1655-3048,352.245,7.88,0.542936,3.66E-17,1.841838,154.3,*,*,*,*,8.57,8.57,235000000,9030000000000000000000000000000,*
82,J0211-8159,299.592,-34.606,1.077333,2.9E-16,0.928218,24.36,*,*,*,*,1.83,1.83,58900000,9160000000000000000000000000000,*
2381,J2027+4557,83.358,4.394,1.099651,3.09E-16,0.909379,229.59,*,*,*,*,22.99,22.99,56300000,9190000000000000000000000000000,*
553,J1237-6725,301.584,-4.591,2.110974,2.19E-15,0.473715,176.5,*,*,*,*,7.8,7.8,15300000,9190000000000000000000000000000,*
2403,J2044+4614,85.429,2.108,1.392715,6.3E-16,0.718022,315.4,*,*,*,*,26.78,26.78,35000000,9210000000000000000000000000000,*
1738,J1831-1223,19.618,-1.217,2.857941,5.47E-15,0.349902,342,*,*,*,*,5.51,5.51,8270000,9260000000000000000000000000000,*
2348,B2003-08,34.101,-20.304,0.580871,4.6E-17,1.721552,32.39,*,*,*,*,2.01,2.01,200000000,9270000000000000000000000000000,*
1993,J1858+0241,36.18,-0.43,4.693233,2.43E-14,0.213073,336,*,*,*,*,6.46,6.46,3060000,9290000000000000000000000000000,*
1554,J1807-2557,4.987,-2.646,2.764195,4.99E-15,0.361769,385,*,*,*,*,11.21,11.21,8770000,9330000000000000000000000000000,*
2262,J1937+1505,51.569,-2.981,2.872774,5.61E-15,0.348096,237,*,*,*,*,14.07,14.07,8110000,9340000000000000000000000000000,*
695,J1416-5033,316.504,10.055,0.794883,1.2E-16,1.258048,58.5,*,*,*,*,1.99,1.99,105000000,9430000000000000000000000000000,*
194,B0559-57,266.492,-29.343,2.261365,2.78E-15,0.442211,30,*,*,*,*,2.55,2.55,12900000,9490000000000000000000000000000,*
354,B0942-13,249.129,28.843,0.570264,4.53E-17,1.753573,12.5,*,*,*,*,0.69,0.69,200000000,9630000000000000000000000000000,22.023
506,J1148-5725,294.507,4.418,3.559937,1.11E-14,0.280904,174,*,*,*,*,6.99,6.99,5080000,9710000000000000000000000000000,*
1346,J1743-2442,3.333,2.64,1.242508,4.72E-16,0.804824,239,*,*,*,*,4.96,4.96,41700000,9720000000000000000000000000000,*
993,J1628-4828,335.488,0.18,4.137539,1.75E-14,0.24169,1209,*,*,*,*,14.29,14.29,3740000,9770000000000000000000000000000,*
1813,J1839-0332,28.462,0.934,2.675682,4.76E-15,0.373736,195.1,*,*,*,*,4.24,4.24,8910000,9810000000000000000000000000000,*
45,J0057-7201,302.244,-45.098,0.738062,1E-16,1.354899,27,*,*,*,*,2.49,2.49,117000000,9820000000000000000000000000000,*
1679,J1824-0127,28.588,5.231,2.499468,3.91E-15,0.400085,58,*,*,*,*,2.21,2.21,10100000,9890000000000000000000000000000,*
1093,J1651-7642,315.149,-19.953,1.755311,1.36E-15,0.5697,80,*,*,*,*,5.16,5.16,20400000,9950000000000000000000000000000,*
863,J1548-4821,330.649,4.753,0.145655,8E-19,6.865552,126,*,*,*,*,3.76,3.76,2880000000,10200000000000000000000000000000,*
1433,B1747-31,357.982,-2.516,0.910363,1.97E-16,1.098463,206.34,*,*,*,*,4.43,4.43,73400000,10300000000000000000000000000000,*
2197,B1921+17,51.707,0.965,0.547209,4.3E-17,1.827455,142.5,*,*,*,*,6.38,6.38,202000000,10400000000000000000000000000000,*
2218,B1925+22,56.983,2.73,1.431066,7.71E-16,0.69878,180,*,*,*,*,9.3,9.3,29400000,10400000000000000000000000000000,*
994,J1629-3636,344.28,8.198,2.988193,7E-15,0.33465,101,*,*,*,*,3.74,3.74,6760000,10400000000000000000000000000000,*
1704,J1825-1108,20.047,0.641,1.925872,1.9E-15,0.519245,121,*,*,*,*,2.71,2.71,16100000,10500000000000000000000000000000,*
1331,B1738-08,16.955,11.304,2.043082,2.27E-15,0.489457,74.9,*,*,*,*,3.5,3.5,14200000,10500000000000000000000000000000,*
1844,J1841-1404,19.277,-4.227,1.334557,6.41E-16,0.749312,267,*,*,*,*,10.85,10.85,33000000,10600000000000000000000000000000,*
651,J1344-6059,309.341,1.216,0.540102,4.3E-17,1.851501,435,*,*,*,*,7.17,7.17,199000000,10800000000000000000000000000000,*
366,B0957-47,275.742,5.418,0.670086,8.2E-17,1.492346,92.7,*,*,*,*,2.96,2.96,129000000,10800000000000000000000000000000,*
1333,J1741-2019,6.815,5.377,3.904506,1.63E-14,0.256114,74.9,*,*,*,*,2,2,3800000,10800000000000000000000000000000,*
