#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1826,J1840-0643,25.66,-0.57,0.035578,2.2E-16,28.107356,500,BT,937.1,113.2,He,6.73,6.73,2560000,193000000000000000000000000000000000,*
1964,J1853+1303,44.875,5.367,0.004092,8.72E-21,244.391378,30.57,BT,115.6538,40.7695,He,1.6,1.6,7440000000,5020000000000000000000000000000000,3.356
1996,J1858-2216,13.566,-11.324,0.00238,*,420.168067,26.6,BT,46.1,*,He,1.35,1.35,*,*,*
2050,J1904+0412,38.163,-0.988,0.071095,1.1E-19,14.065707,185.9,BT,14.9343,9.6348,He,4.01,4.01,10200000000,12100000000000000000000000000000,*
2114,J1910+1256,46.564,1.795,0.004984,9.69E-21,200.658805,38.07,BT,58.4667,21.1291,He,1.95,1.95,8150000000,3090000000000000000000000000000000,6.901
2157,B1913+16,49.968,2.122,0.05903,8.63E-18,16.940538,168.77,BT,0.323,2.3418,NS,7.13,7.13,108000000,1660000000000000000000000000000000,1.592
2232,J1930-1852,19.976,-16.873,0.18552,1.8E-17,5.39025,42.85,BT,45.06,86.8903,NS,2.34,2.34,163000000,111000000000000000000000000000000,*
2302,J1946+3417,69.294,4.713,0.00317,3.7E-21,315.443559,110,BT,27,*,*,6.41,6.41,13600000000,4580000000000000000000000000000000,*2302,J1946+3417,69.294,4.713,0.00317,3.7E-21,315.443559,110,BT,27,*,*,6.41,6.41,13600000000,4580000000000000000000000000000000,*
2303,J1946-5403,343.914,-29.552,0.00271,*,369.00369,23.7,BT,0.13,0.0435,*,1.46,1.46,*,*,*2303,J1946-5403,343.914,-29.552,0.00271,*,369.00369,23.7,BT,0.13,0.0435,*,1.46,1.46,*,*,*
2315,J1950+2414,61.098,-1.169,0.004305,1.89E-20,232.300149,142.09,BT,22.1914,14.22,He,7.29,7.29,3610000000,9350000000000000000000000000000000,*
2321,J1953+1846A,56.744,-4.563,0.004888,*,204.582651,117,BT,0.1767,0.0782,UL,6.68,6.68,*,*,*
2328,B1953+29,65.839,0.443,0.006133,2.97E-20,163.047913,104.5,BT,117.3491,31.4127,He,5.39,5.39,3270000000,5090000000000000000000000000000000,4.219
2336,B1957+20,59.197,-4.697,0.001607,1.69E-20,622.122031,29.12,BT,0.382,0.0892,UL,1.53,1.53,1510000000,160000000000000000000000000000000000,30.359
2366,J2016+1948,60.522,-8.675,0.06494,4.01E-19,15.398738,33.81,BT,635.0238,150.773,He,1.83,1.83,2570000000,57800000000000000000000000000000,3.106
2372,J2019+2425,64.746,-6.624,0.003935,7.02E-21,254.160346,17.2,BT,76.5116,38.7676,He,0.91,0.91,8880000000,4550000000000000000000000000000000,22.647
2389,J2032+4127,80.224,1.028,0.14325,1.25E-14,6.980808,114.65,BT,8578,8819,MS,1.7,5.15,181000,168000000000000000000000000000000000,*
2391,J2033+1734,60.857,-13.154,0.005949,1.11E-20,168.096678,25.08,BT,56.3078,20.1631,He,1.37,1.37,8480000000,2080000000000000000000000000000000,12.501
2408,J2047+1053,57.019,-19.643,0.00429,*,233.100233,34.6,BT,0.12,*,UL,2.23,2.23,*,*,*
2413,J2051-0827,39.192,-30.411,0.004509,1.27E-20,221.796287,20.74,BT,0.0991,0.0451,UL,1.28,1.28,5610000000,5490000000000000000000000000000000,5.308
2485,J2229+2643,87.693,-26.284,0.002978,1.46E-21,335.816213,23.02,BT,93.0159,18.9125,He,1.43,1.43,32300000000,2180000000000000000000000000000000,17.029
2489,J2234+06,72.979,-43.008,0.0036,*,277.777778,11,BT,32,*,*,0.63,0.63,*,*,*2489,J2234+06,72.979,-43.008,0.0036,*,277.777778,11,BT,32,*,*,0.63,0.63,*,*,*
2492,J2236-5527,334.166,-52.719,0.006908,9.6E-21,144.769142,20,BT,12.6892,8.7759,He,2.03,2.03,11400000000,1150000000000000000000000000000000,*
2496,J2241-5236,337.457,-54.927,0.002187,6.64E-21,457.31015,11.41,BT,0.1457,0.0258,UL,0.68,0.68,5220000000,25100000000000000000000000000000000,*
2503,J2256-1024,59.231,-58.293,0.00229,*,436.681223,13.8,BT,0.21,0.083,UL,0.91,0.91,*,*,*
2509,B2303+46,104.931,-12.021,1.066371,5.69E-16,0.93776,62.06,BT,12.3395,32.6878,CO,4.35,4.35,29700000,18500000000000000000000000000000,*
2516,J2317+1439,91.361,-42.36,0.003445,2.42E-21,290.254608,21.91,BT,2.4593,2.3139,He,1.89,1.89,22600000000,2340000000000000000000000000000000,3.835
577,B1257+12,311.31,75.414,0.006219,1.14E-19,160.809659,10.17,BT2P,25.262,0,ULT,0.6,0.62,862000000,18800000000000000000000000000000000,96.147
1271,J1731-1847,6.89,8.151,0.002345,2.54E-20,426.519344,106.47,BTX,0.3111,0.1202,UL,4.03,4.03,1460000000,77800000000000000000000000000000000,6.236
256,J0737-3039B,245.236,-4.505,2.773461,8.92E-16,0.36056,48.92,DD,0.1023,1.5161,NS,1.1,0.57,49200000,1650000000000000000000000000000,4.374
388,J1017-7156,291.558,-12.553,0.002339,2.22E-21,427.621905,94.22,DD,6.5119,4.83,He,0.26,8.1,16700000000,6850000000000000000000000000000000,9.957
394,J1022+1001,231.795,51.101,0.016453,4.33E-20,60.779448,10.25,DD,7.8051,16.7654,CO,0.74,0.6,6020000000,384000000000000000000000000000000,*
476,J1125-5825,291.893,2.602,0.003102,6.09E-20,322.350433,124.79,DD,76.4032,33.6384,He,2.98,2.98,807000000,80500000000000000000000000000000000,10.284
497,J1141-6545,295.791,-3.863,0.393899,4.31E-15,2.538723,116.08,DD,0.1977,1.8589,CO,3,3.2,1450000,2780000000000000000000000000000000,*
561,J1244-6359,302.204,-1.134,0.147274,4.4E-18,6.79005,286,DD,17.1707,24.0329,CO,12.05,12.05,530000000,54400000000000000000000000000000,*
650,J1342+2822D,42.215,78.712,0.005443,*,183.72305,26.36,DD,128.752,38.524,He,9.9,1.8,*,*,*
784,J1518+4904,80.808,54.282,0.040935,2.72E-20,24.428979,11.61,DD,8.634,20.044,NS,0.7,0.7,23900000000,15600000000000000000000000000000,8.556
802,J1528-3146,337.939,20.217,0.060822,2.49E-19,16.441357,18.16,DD,3.1803,11.4523,CO,0.99,0.99,3870000000,43700000000000000000000000000000,*
805,J1529-3828,333.886,14.728,0.008486,2.7E-20,117.837233,73.62,DD,119.6748,29.3405,He,4.85,4.85,4980000000,1740000000000000000000000000000000,*
827,B1534+12,19.848,48.341,0.037904,2.42E-18,26.382133,11.62,DD,0.4207,3.7295,NS,1.05,0.68,248000000,1760000000000000000000000000000000,25.328
891,J1600-3053,344.09,16.451,0.003598,9.5E-21,277.937707,52.32,DD,14.3485,8.8017,He,1.8,2.67,6000000000,8050000000000000000000000000000000,7.288
1042,J1640+2224,41.051,38.271,0.003163,2.83E-21,316.123984,18.43,DD,175.4607,55.3297,He,1.45,1.19,17700000000,3530000000000000000000000000000000,11.521
1053,J1643-1224,5.669,21.218,0.004622,1.85E-20,216.373337,62.41,DD,147.0173,25.0726,He,0.74,4.86,3970000000,7380000000000000000000000000000000,7.128
1167,J1708-3506,350.47,3.124,0.004505,1.14E-20,221.967751,146.73,DD,149.1332,33.5842,He,3.5,3.5,6250000000,4930000000000000000000000000000000,5.665
1193,J1713+0747,28.751,25.223,0.00457,8.53E-21,218.811844,15.97,DD,67.8251,32.3424,He,1.18,0.89,8490000000,3530000000000000000000000000000000,6.285
1460,J1755-25,3.756,-0.338,0.315196,*,3.172629,751,DD,9.6963,12.2838,*,11.04,11.04,*,*,*1460,J1755-25,3.756,-0.338,0.315196,*,3.172629,751,DD,9.6963,12.2838,*,11.04,11.04,*,*,*
1470,J1756-2251,6.499,0.948,0.028462,1.02E-18,35.135073,121.2,DD,0.3196,2.7565,NS,0.73,2.92,443000000,1740000000000000000000000000000000,2.42
1553,J1807-2459B,5.836,-2.206,0.004186,8.23E-20,238.881431,137.15,DD,9.9567,28.9204,CO(?),2.79,3.31,806000000,44300000000000000000000000000000000,*
2040,J1903+0327,37.336,-1.014,0.00215,1.88E-20,465.135238,297.52,DD,95.1741,105.5935,MS,6.45,6.45,1810000000,74800000000000000000000000000000000,5.602
2070,J1906+0746,41.598,0.147,0.144073,2.03E-14,6.940918,217.75,DD,0.166,1.42,NS(?),7.4,4.53,113000,268000000000000000000000000000000000,*
2115,J1910-5959A,336.525,-25.73,0.003266,2.95E-21,306.167446,33.7,DD,0.8371,1.206,He,4.55,2.22,17600000000,3340000000000000000000000000000000,5.025
2313,J1949+3106,66.858,2.554,0.013138,9.39E-20,76.114024,164.13,DD,1.9495,7.2886,CO,7.78,7.78,2220000000,1630000000000000000000000000000000,5.947
2437,B2127+11C,65.03,-27.315,0.030529,4.99E-18,32.755423,67.13,DD,0.3353,2.5185,NS,12.9,3.84,97000000,6920000000000000000000000000000000,3.547
2479,J2222-0137,62.018,-46.075,0.032818,5.86E-20,30.471214,3.28,DD,2.4458,10.848,CO,0.27,0.17,8870000000,65500000000000000000000000000000,45.089
140,J0453+1559,184.125,-17.137,0.045782,1.86E-18,21.842733,30.31,DDH,4.0725,14.4668,NS,1.83,1.83,390000000,766000000000000000000000000000000,8.139
255,J0737-3039A,245.236,-4.505,0.022699,1.76E-18,44.054069,48.92,DDS,0.1023,1.415,NS,1.1,0.57,204000000,5940000000000000000000000000000000,4.374
